Cluster	organ	organ_code	cluster_id	compartment	L1_annot	L2_annot	L3_annot	dend_order	ncell	median_numi	median_ngene	median_nfrags	median_tss	median_frip	note	organ_color	compartment_color	Cluster_ChromBPNet
LU_13	Lung	LU	13	str	LU_13_airway smooth muscle 2	Lung airway smooth muscle	smooth muscle	162	3507	3113	1915	3664	8.617	0.356070714	cycling; entirely T164_b12_Lung_PCW10; EYA4 HHIP MYH11 MYOCD markers	#f0643e	#3969AC	Lung_c13
BR_11	Brain	BR	11	str	BR_11_smooth muscle cells 2	Brain smooth muscle cells	smooth muscle	163	3373	2095	1464	2463	9.057	0.336453202	ACTA2/PRDM6, clusters with 8	#0C727C	#3969AC	Brain_c11
MU_1	Muscle	MU	1	str	MU_1_smooth muscle 1	Muscle smooth muscle	smooth muscle	164	8838	1226	944	3615.5	8.427	0.242167608	low UMI; MYLK high; mostly PCW17; G2/M phases	#89C75F	#3969AC	Muscle_c1
LU_4	Lung	LU	4	str	LU_4_airway smooth muscle 1	Lung airway smooth muscle	smooth muscle	165	12194	1667	1260.5	5780.5	10.8435	0.453884505	HHIP EYA4 MYH11 DACH2 HPSE2 markers	#f0643e	#3969AC	Lung_c4
LU_7	Lung	LU	7	str	LU_7_airway fibroblast 2	Lung airway fibroblast	fibroblasts	166	8418	1566	1134	2819	10.627	0.468500945	MEOX2 marker; high WNT2	#f0643e	#3969AC	Lung_c7
LU_1	Lung	LU	1	str	LU_1_airway fibroblast 1	Lung airway fibroblast	fibroblasts	167	22426	1674	1256.5	5717	9.656	0.411127211	MEOX2 marker; high WNT2	#f0643e	#3969AC	Lung_c1
LU_9	Lung	LU	9	epi	LU_9_airway epithelial progenitor 4	Lung airway epithelial progenitor	airway epithelial progenitor	168	6559	2413	1685	6574	10.753	0.451555329	cycling; high ETV5 some SFPTB	#f0643e	#11A579	Lung_c9
MU_6	Muscle	MU	6	end	MU_6_endothelial 2	Muscle endothelial	endothelial	169	5944	3318.5	2170	8562	8.939	0.257085617	PECAM1;VWF;ESAM+; mostly PCW17	#89C75F	#7F3C8D	Muscle_c6
BR_8	Brain	BR	8	str	BR_8_smooth muscle cells 1	Brain smooth muscle cells	smooth muscle	170	4070	4973	2856.5	6185.5	9.693	0.34468951	ACTA2/PRDM6, clusters with 11	#0C727C	#3969AC	Brain_c8
MU_11	Muscle	MU	11	end	MU_11_endothelial 3	Muscle endothelial	endothelial	171	3590	1149	955	1671.5	8.825	0.258446927	PECAM1;VWF;ESAM+; mostly PCW17	#89C75F	#7F3C8D	Muscle_c11
EY_17	Eye	EY	17	str	EY_17_melanocyte	Eye melanocyte	neural crest derived	172	686	2210	1563	5778.5	7.0585	0.25451919	PAX3 TYR	#ff9f0f	#3969AC	Eye_c17
SK_10	Skin	SK	10	epi	SK_10_melanocyte	Skin melanocyte	neural crest derived	173	1878	2086	1538.5	11650.5	9.7015	0.319743878	TYRP1+, TRPM1+, DCT+, all components of pigment producing genes	#ad0773	#11A579	Skin_c10
EY_13	Eye	EY	13	epi	EY_13_astrocyte	Eye astrocyte	neural crest derived	174	1932	1884.5	1390.5	5165.5	8.5235	0.33313377	high PAX2 GFAP; DCLK1 ERBB4 marker	#ff9f0f	#11A579	Eye_c13
AG_9	Adrenal	AG	9	epi	AG_9_schwann cell precursors	Adrenal schwann cell precursors	neural crest derived	175	25	4319	2382	4698	10.074	0.207025503	CDH19 MPZ ERBB3 PLP1+	#876941	#11A579	Adrenal_c9
SK_7	Skin	SK	7	epi	SK_7_schwann	Skin schwann	neural crest derived	176	3111	2319	1685	13144	10.256	0.313052562	NRXN1+, CDH19+	#ad0773	#11A579	Skin_c7
HT_13	Heart	HT	13	epi	HT_13_neuronal	Heart neuronal	neural crest derived	177	1036	2440	1616	9193.5	8.03	0.271916426	NRXN1 XKR4 LRRTM4 marker; half is cluster 6 of T379_b11_Heart_PCW15; neuronal receptor	#D51F26	#11A579	Heart_c13
EY_16	Eye	EY	16	epi	EY_16_schwann	Eye schwann	neural crest derived	178	1017	2043	1464	4000	7.768	0.254341019	NRXN1 NCAM2	#ff9f0f	#11A579	Eye_c16
ST_8	StomachEsophagus	ST	8	str	ST_8_enteric glia	StomachEsophagus enteric glia	neural crest derived	179	4858	2408.5	1629	6390.5	7.908	0.328221555	same cluster level as 19 immune	#208A42	#3969AC	Stomach_c8
SK_14	Skin	SK	14	epi	SK_14_melanocyte progenitor	Skin melanocyte progenitor	neural crest derived	180	764	1337	1014.5	6240	9.1795	0.336565114	EDNRB+ ITGA8+ temporary until additional marker validation	#ad0773	#11A579	Skin_c14
SK_9	Skin	SK	9	str	SK_9_fibroblast 5	Skin fibroblast	fibroblasts	181	2251	1157	923	5735	12.146	0.383023873	KIF26B+, SPON1+, DAAM2+, KCNN2+	#ad0773	#3969AC	Skin_c9
SK_0	Skin	SK	0	str	SK_0_fibroblast 1	Skin fibroblast	fibroblasts	182	9770	1045	839	5309	11.2075	0.367351935	RHOJ, CUBN	#ad0773	#3969AC	Skin_c0
SK_3	Skin	SK	3	str	SK_3_fibroblast 3	Skin fibroblast	fibroblasts	183	5251	2099	1546	11838	9.272	0.29682766	RHOJ, CUBN	#ad0773	#3969AC	Skin_c3
MU_20	Muscle	MU	20	epi	MU_20_keratinocytes 2	Muscle keratinocytes	keratinocytes	184	921	3651	2256	4834	6.689	0.218136135	KRT4/17+, SCEL	#89C75F	#11A579	Muscle_c20
MU_13	Muscle	MU	13	epi	MU_13_keratinocytes 1	Muscle keratinocytes	keratinocytes	185	2660	3016	1987.5	7178.5	7.1465	0.230347919	KRT10/SCEL	#89C75F	#11A579	Muscle_c13
MU_21	Muscle	MU	21	str	MU_21_myogenic progenitors 3	Muscle myogenic progenitors	myogenic progenitors	186	546	3320.5	2087.5	7041	6.9	0.219789839	PAX3+	#89C75F	#3969AC	Muscle_c21
MU_12	Muscle	MU	12	str	MU_12_myogenic progenitors 2	Muscle myogenic progenitors	myogenic progenitors	187	3372	1454	1148.5	1581	6.648	0.169152968	PAX3+	#89C75F	#3969AC	Muscle_c12
MU_3	Muscle	MU	3	str	MU_3_myogenic progenitors 1	Muscle myogenic progenitors	myogenic progenitors	188	7496	2613.5	1720	5669	7.6355	0.217088561	PAX3+	#89C75F	#3969AC	Muscle_c3
EY_14	Eye	EY	14	str	EY_14_myogenic progenitor	Eye myogenic progenitor	myogenic progenitors	189	1923	2012	1484	3226	7.691	0.289363324	CLCN5 BMPR1B NCOA1	#ff9f0f	#3969AC	Eye_c14
MU_7	Muscle	MU	7	str	MU_7_myoblasts (cycling)	Muscle myoblasts (cycling)	myogenic progenitors	190	5393	1883	1368	4248	9.369	0.34241573	PAX7+ and G2/M cell cycle states; somewhat higher markers TOP2A/CENPE+	#89C75F	#3969AC	Muscle_c7
MU_17	Muscle	MU	17	str	MU_17_myoblasts	Muscle myoblasts	myogenic progenitors	191	1008	3007.5	1901.5	4162	6.2295	0.195414207	PAX7+	#89C75F	#3969AC	Muscle_c17
MU_9	Muscle	MU	9	str	MU_9_tenogenic cells	Muscle tenogenic cells	myogenic progenitors	192	4392	2146	1510	5618	8.3485	0.307637247	TNMD/MKX+	#89C75F	#3969AC	Muscle_c9
